level_0	index	TABKEY	CLASS	MANUF	MODEL	GROUP	SERIES	DEVTYPE	DESCRIPTION	CATEGORY
2419	2419	12683	PRG	PubMatic	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2421	2421	574	PRG	Cerner	MEDICAL-SW	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
2422	2422	4996	PRG	Swiftpage	ACT	SAAS-CRM	CLOUD-CMPTNG	APPL	CRM AS A SERVICE	
2423	2423	1269	PRG	IBM	WSMsgBroker	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2425	2425	920	PRG	Adobe	Campaign	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2426	2426	90872900	PRG	SAS	BI	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2427	2427	655	PRG	SAP	ISR	RETIAL	IND-SPECIFIC	APPL	RETAIL	
2428	2428	11006	PRG	ForgeRock	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2430	2430	4729	PRG	Adobe	Dreamweaver	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2431	2431	111	PRG	Brainshark	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2432	2432	1330	PRG	ChangePoint	PRJCT-MGT-SW	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
2433	2433	4825	PRG	Autodesk	Softimage	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2434	2434	91010800	PRG	ZOHO	SAAS-CRM	SAAS-CRM	CLOUD-CMPTNG	APPL	CRM AS A SERVICE	
2435	2435	6495000	CPU	IBM	NETFINITY	NETFINITY	NETFINITY	INTEL	SERVER	
2436	2436	7405	PRG	AdptvInsght	AdptvInsghts	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
2437	2437	1182	PRG	Infor	SAAS-CRM	SAAS-CRM	CLOUD-CMPTNG	APPL	CRM AS A SERVICE	
2439	2439	90828800	PRG	SAGE	ERP-UNSPEC	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
2441	2441	12496	PRG	Cucumber	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2444	2444	850	PRG	EMC	PowerPath	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2446	2446	4723	PRG	Adobe	Coldfusion	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
2448	2448	10834	PRG	SiSense	BI-SOFTWARE	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2450	2450	5037	PRG	SAP	TimeAtndMgmt	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2451	2451	11310	PRG	MediaSilo	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2452	2452	1272	PRG	IBM	DB2LnxUNXWin	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2454	2454	4145100	PRG	MICROSOFT	OUTLOOK	GROUPWARE	OFFICE	APPL	GROUPWARE SOFTWARE	
2455	2455	90796600	PRG	MICROSOFT	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2457	2457	11243	PRG	Adestra	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2459	2459	11232	PRG	Clickdensty	Clickdensity	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2461	2461	11081	PRG	Gemalto	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2462	2462	10536	PRG	Google	Apps	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2463	2463	592	PRG	NetApp	CIFS	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
2464	2464	451	RTR	Cisco	TANDBERG	ROUTER	ROUTER		ROUTER	
2465	2465	10528	PRG	Dell	BoomiAtmSphr	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2466	2466	9010	PRG	Objectivity	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2467	2467	762	PRG	Microsoft	Sys Cntr	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2468	2468	10613	PRG	SAS	access	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
2472	2472	404	PRG	RubyonRails	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2475	2475	4626	PRG	IBM	Maximo	ASSET-MGMT	SYSTEMS-MGMT	SYSTEM	ASSET MANAGEMENT	
2476	2476	771	PRG	Oracle	DataIntgtENT	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2479	2479	11679	PRG	Parallels	Plesk	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2481	2481	1236	LSW	Cisco	Switches	SWITCH	SWITCH		LAN SWITCH	
2483	2483	7040	PRG	Xactly	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2484	2484	10806	PRG	etouches	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2485	2485	6372000	PRG	INFORMATICA	BI	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2487	2487	4804	VIP	Nortel	CS1000	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
2488	2488	3421	PRG	SunGard	Investran	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2491	2491	223	PRG	LttdGeogrph	Geocortex	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2492	2492	8427	PRG	Demandbase	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2494	2494	90694100	PRG	MICROSOFT	ASP	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2496	2496	776	PRG	Oracle	DBVault	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2497	2497	1138	PRG	Serena	Bus Mgr	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2498	2498	901	PRG	IBM	InfoSphrPlat	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2502	2502	9082	RTR	AristaNet	ROUTER	ROUTER	ROUTER		ROUTER	
2504	2504	9116	PRG	Ifbyphone	CALL-SWFTWR	CONTACTCENTE	ENTERPRISE-A	SYSTEM	CONTACT CENTER MANAGEMENT	
2505	2505	6939	PRG	IBM	Monitoring	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2507	2507	754	PRG	Oracle	11g ENT Ed	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2508	2508	9267	PRG	Cision	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2509	2509	3284400	OPR	IBM	AIX	UNIX	UNIX		OPERATING SYSTEM	
2512	2512	1069	PRG	VersionOne	PRJCT-MGT-SW	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
2513	2513	90950700	RTR	CHECKPOINT	ROUTER	ROUTER	ROUTER		ROUTER	
2514	2514	8910	PRG	Alteryx	BI-SOFTWARE	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2515	2515	1023	PRG	Adobe	SiteCatalyst	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2516	2516	1186	PRG	Infor	Syteline	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
2518	2518	90872600	PRG	IBM	BI	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2519	2519	90825700	PRG	POSTGRESQL	DBMS	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2520	2520	9248	PRG	LogMeIn	COLLAB-SWFTR	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
2521	2521	6441	PRG	CGI	PragmaCAD	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2524	2524	11364	PRG	Hitslink	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2526	2526	11316	PRG	Wufoo	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2527	2527	90273400	PRG	DELTEK	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
2528	2528	8750	PRG	Articulate	Storyline	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2529	2529	11120	PRG	Apache-Soft	Oozie	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
2531	2531	3704900	PRG	BMC	PATROL	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
2532	2532	8458	PRG	Magento	COMM-SWFTWR	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
2534	2534	10862	PRG	Azteca Sys	Cityworks	ASSET-MGMT	SYSTEMS-MGMT	SYSTEM	ASSET MANAGEMENT	
2537	2537	10484	PRG	Apple	xCode	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2538	2538	90669500	CPU	SUN	SERVER	UNSPEC-SVR	SERVER	UNSPEC	SERVER	
2539	2539	90679000	PRG	RED-HAT	JBOSS	APP-SERVER	WORKFLOW	APPL	APPLICATION SERVER SOFTWARE	
2540	2540	5099	PRG	IBM	CognsInsight	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2541	2541	1221	CPC	Apple	MacBook Pro	PORTABLE	PC	PORT	PERSONAL PORTABLE COMPUTER	
2542	2542	9110	PRG	Pipedrive	SAAS-CRM	SAAS-CRM	CLOUD-CMPTNG	APPL	CRM AS A SERVICE	
2543	2543	248	PRG	Innotas	PRJCT-MGT-SW	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
2544	2544	10599	OPR	Microsoft	FoxPro	OS	OS		OPERATING SYSTEM	
2546	2546	675	PRG	Avaya	CallMgmtSys	CONTACTCENTE	ENTERPRISE-A	SYSTEM	CONTACT CENTER MANAGEMENT	
2547	2547	4147800	PRG	MICROSOFT	SQL-SERVER	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2548	2548	283	PRG	Kofax	DOC-MGMT	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2549	2549	929	PRG	Oracle	Oracle 12	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2554	2554	5039	PRG	SAP	SAP HANA	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2555	2555	4193900	PRG	ORACLE	DBMS	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2556	2556	3823100	PRG	COMPILER	C	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2557	2557	1225	TAB	Apple	iPad	PORTABLE	PC	PORT	PERSONAL PORTABLE COMPUTER	
2559	2559	4988	PRG	zoho	Zoho CRM	SAAS-CRM	CLOUD-CMPTNG	APPL	CRM AS A SERVICE	
2560	2560	8958	PRG	KnowldgLake	KnowledgLake	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2561	2561	9421	PRG	LifeSize	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2562	2562	12742	PRG	SimCorp	ACCTNG-SFTWR	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
2563	2563	8969	PRG	IBM	TRIRIGA	REAL ESTATE	IND-SPECIFIC	APPL	REAL ESTATE	
2564	2564	11393	PRG	Chartbeat	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2566	2566	11575	PRG	Checkmarx	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2567	2567	11733	PRG	Infragistic	Infragistics	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2568	2568	4937	PRG	Cloudera	Cloudera CDH	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2569	2569	10647	OPR	Oracle	Jrockit	OS	OS		OPERATING SYSTEM	
2570	2570	11022	PRG	MongseMtrcs	MongoseMtrcs	CONTACTCENTE	ENTERPRISE-A	SYSTEM	CONTACT CENTER MANAGEMENT	
2571	2571	5101	PRG	IBM	CognosContrl	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
2572	2572	333	PRG	Newforma	PRJCT-MGT-SW	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
2574	2574	10674	PRG	SurveyMnkey	SurveyMonkey	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2575	2575	9279	PRG	HP	WebInspect	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2576	2576	11513	PRG	OneLogin	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2577	2577	4677	PRG	SAP	AribaSourcng	PROCUREMENT	ENTPRISE-APP	APPL	PROCUREMENT	
2578	2578	1077	PRG	Atlassian	JIRA Capture	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2583	2583	551	CPU	HP	Servers	UNSPEC-SVR	INTEL-SERVER	INTEL	SERVER	
2586	2586	90212100	CPC	APPLE	DESKTOP	DESKTOP	PC	DESKTOP	PERSONAL DESKTOP COMPUTER	
2589	2589	7375	PRG	Google	ComputeEng	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2591	2591	6120600	PRG	TREND-MICRO	OFFICESCAN	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2593	2593	7237	PRG	Microsoft	OneDrive	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2594	2594	4819	PRG	ANSYS	MANUFACT-SW	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
2596	2596	1336	PRG	CA	CA APM	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2597	2597	4720	PRG	Adobe	Audition	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2598	2598	422	PRG	Siemens	PLM	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2599	2599	6915	PRG	Oracle	PS Invntry	INVENTORY-MG	ENTPRISE-APP	APPL	INVENTORY MANAGEMENT	
2601	2601	508	PRG	Zenoss	NET-MGMT-SW	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
2604	2604	7038	PRG	Synygy	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2605	2605	80	PRG	ARCHIBUS	REALTY-SW	REAL ESTATE	IND-SPECIFIC	APPL	REAL ESTATE	
2606	2606	1181	PRG	Oracle	BRIO	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2607	2607	10982	PRG	Bentley	SewerCAD	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2609	2609	11182	PRG	KCI	KCI CONTROL	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
2612	2612	198	PRG	EtQ	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2613	2613	90682500	OPR	MICROSOFT	VISTA	WINDOWS	WINDOWS		OPERATING SYSTEM	
2616	2616	12521	PRG	PROS	Cameleon	PARTNER=MGT	ENTPRISE-APP	APPL	PARTNER MANAGEMENT	
2617	2617	8763	PRG	M-Files	DOC-MGMT	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2618	2618	8811	PRG	Aveksa	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2619	2619	862	AUX	HP	DL380	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
2620	2620	90227500	CPW	IBM	WORKSTATION	WORKSTATION	WORKSTATION	WORK	HIGH PERFORMANCE WORKSTATION	
2621	2621	8990	PRG	SendGrid	EMAIL	EMAIL	ENTPRISE-APP	APPL	EMAIL SOFTWARE	
2622	2622	1076	PRG	Atlassian	FishEye	SOFT-CONFIG	APPL-MGMT	SYSTEM	SOFTWARE CONFIGURATION MGMT	
2623	2623	9228	PRG	EDS	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2624	2624	90680600	PRG	SYMANTEC	NETBACKUP	BACKUP	STORAGE-MGMT	SYSTEM	BACKUP AND RECOVERY	
2625	2625	6502500	CPU	IBM	ESERVER-325	ESERVER-325	ESERVER-325	INTEL	SERVER	
2626	2626	10623	PRG	AtmtnAnywhr	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2627	2627	10452	PRG	Altium	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2628	2628	10786	PRG	HP	HPWinRunner	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2629	2629	11719	PRG	JAMF	Casper Suite	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2631	2631	1172	PRG	Hitachi	Software	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2635	2635	4759	PRG	NetSuite	SuiteFlow	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
2637	2637	7052	PRG	Lumension	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2638	2638	841	PRG	EMC	Captiva	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2640	2640	11628	PRG	LANDeskSoft	Shavlik	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2642	2642	90519500	IAP	INTERCOM	INET-ACCESS				INTERNET ACCESS PROVIDER	
2643	2643	8970	PRG	Enablon	SUSTAIN-SW	SUSTAINABILI	IND-SPECIFIC	APPL	SUSTAINABILITY	
2645	2645	8901	PRG	Hard Dollar	CONST-SWFTWR	CONSTRUCTION	IND-SPECIFIC	APPL	CONSTRUCTION	
2647	2647	456	PRG	Tenrox	PRJCT-MGT-SW	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
2650	2650	825	OPR	Oracle	J2EE	OS	OS		OPERATING SYSTEM	
2651	2651	338	VIP	Nortel	VOIP	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
2655	2655	11429	PRG	MassRelevnc	MassRelevanc	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2656	2656	5056	PRG	SAP	Aerospace	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
2657	2657	538	PRG	EMC	Avamar	STORAGE-MGMT	STORAGE-MGMT	SYSTEM	STORAGE MANAGEMENT	
2658	2658	11838	PRG	Liveramp	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2659	2659	11629	PRG	SAP	MnufIntgIntl	SUPPLY-CHAIN	ENTPRISE-APP	APPL	SUPPLY CHAIN MANAGEMENT	
2660	2660	12690	PRG	Callidus	Litmos	EDUCATION	IND-SPECIFIC	APPL	ACADEMIC & EDUCATION MANAGEM	
2665	2665	11630	PRG	RockwelAuto	RSLogix	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
2666	2666	9224	PRG	IBM	RationalRose	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2667	2667	886	CPU	HP	ServerMngr	UNSPEC-SVR	INTEL-SERVER	INTEL	SERVER	
2668	2668	4890	PRG	SpaceClaim	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2671	2671	10549	OPR	Oracle	Linux	OS	OS		OPERATING SYSTEM	
2673	2673	12008	PRG	Akamai	Akamai DNS	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2674	2674	5176	PRG	NetIQ	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2676	2676	376	PRG	PostgreSQL	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2677	2677	12641	PRG	Epic Sys	MEDICAL-SW	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
2678	2678	11233	PRG	Woopra	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2679	2679	540	AUX	EMC	Centera	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
2682	2682	11209	CPU	IBM	PowerSys	UNSPEC-SVR	INTEL-SERVER	INTEL	SERVER	
2684	2684	7328	PRG	Bazaarvoice	SOCIAL-MGT	SOCIAL-MGT	ENTERPRISE-A	SYSTEM	SOCIAL MEDIA SYSTEMS	
2685	2685	4710	OPR	Red-Hat	ENTLinuxSrvr	OS	OS		OPERATING SYSTEM	
2686	2686	10702	PRG	Epsilon	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2687	2687	8923	PRG	CyrusOne	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2688	2688	4790	PRG	Manhattan	WMS	INVENTORY-MG	ENTPRISE-APP	APPL	INVENTORY MANAGEMENT	
2689	2689	7124	PRG	IBM	IS DataStage	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2690	2690	11430	PRG	MaxMind	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2691	2691	6267100	PRG	SALESFORCE	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
2692	2692	8502	PRG	Windstream	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2693	2693	11119	PRG	Axure	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2695	2695	8510	CPU	Unisys	UNSPEC-SVR	UNSPEC-SVR	INTEL-SERVER	INTEL	SERVER	
2699	2699	935	PRG	Oracle	ECM	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2700	2700	3371	PRG	Amazon	Route 53	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2701	2701	1295	PRG	Amazon	ElstcBnstlk	PAAS	CLOUD-CMPTNG	APPL	PLATFORM AS A SERVICE	
2705	2705	8450	OPR	Oracle	PLSQL	OS	OS		OPERATING SYSTEM	
2706	2706	11032	PRG	Rocscience	MANUFACT-SW	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
2708	2708	11008	PRG	BeyondTrust	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2709	2709	10780	PRG	Temenos	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2710	2710	9105	PRG	Bloomberg	Law	LEGAL-SRV	IND-SPECIFIC	APPL	LEGAL & PROFESSIONAL SERVICE	
2712	2712	10968	PRG	Xerox	XMPie	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2713	2713	12544	PRG	Allscripts	Misys	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
2718	2718	7330	PRG	Oracle	FusionMddlwr	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
2727	2727	6445	PRG	Jaspersoft	BI-SOFTWARE	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2728	2728	11079	PRG	CloudFlare	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2730	2730	8632	RTR	Cisco	ASR1000	ROUTER	ROUTER		ROUTER	
2731	2731	868	PRG	HP	DataProtectr	STORAGE-MGMT	STORAGE-MGMT	SYSTEM	STORAGE MANAGEMENT	
2733	2733	6347	PRG	LogRhythm	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2734	2734	7414	PRG	IBM	UnicaNInsght	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2735	2735	768	PRG	Oracle	Data Masking	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2737	2737	11718	PRG	Open-Text	LegalKEY	LEGAL-SRV	IND-SPECIFIC	APPL	LEGAL & PROFESSIONAL SERVICE	
2738	2738	4568	PRG	Oracle	TransMgnt	SUPPLY-CHAIN	ENTPRISE-APP	APPL	SUPPLY CHAIN MANAGEMENT	
2739	2739	1283	PRG	IBM	ITCAM	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2740	2740	90273800	PRG	REMEDY	ASSET-MGMT	ASSET-MGMT	SYSTEMS-MGMT	SYSTEM	ASSET MANAGEMENT	
2742	2742	12635	PRG	Apache-Soft	Zookeeper	SOFT-CONFIG	APPL-MGMT	SYSTEM	SOFTWARE CONFIGURATION MGMT	
2743	2743	6983	PRG	Kenshoo	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2744	2744	90796100	PRG	KRONOS	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2747	2747	5077	PRG	Autodesk	Navisworks	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
2748	2748	10491	PRG	GrdinnAlytc	GrdianAlytcs	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2749	2749	6224000	OPR	APPLE	MAC-OSX	MAC-OS	MAC-OS		OPERATING SYSTEM	
2750	2750	1135	PRG	SAS	SAS Mrktng	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
